CCTV-1综合 cctv1
天元围棋 tywq
中科商城 zhongkeshangcheng
英雄联盟 380124822
我的世界 380124922
天骐播客 380186622
悠然小天 380206822
央广购物 yangguang-yangguang1
中科商城 zhongkeshangcheng
动画电影 380206422
CIBN动漫 CIBNdongman
怀旧动画 380176422
灌篮高手 380188822
龙珠 380188922
家有购物 jiayou-yangshi1
圣斗士星矢 380186022
蜡笔小新 380176322
哆啦A梦 380183222
名侦探柯南 380158422
环球购物 huanqiu131-2
美少女战士 380185922
奥特曼 380176222
铠甲勇士 380183522
数码宝贝 380189022
神奇宝贝 380192022
央广购物 yangguanggouwu999
动漫乐园 380188722
动画小天地 380206722
猫和老鼠 380158622
喜洋洋 380183422
大头儿子 380183322
巴啦啦小魔仙 380183622
聚鲨厨房 huanqiu-chufang
聚鲨国际 huanqiu_guoji
巧虎 380222922
动物兄弟 380173322
米奇妙妙屋 380173222
倒霉熊 380221722
聚鲨美食 huanqiu-meishi
可可小爱 380221622
爆笑虫子 380221522
亲子启蒙 380185522
亲子小游戏 380191722
玩具乐园 380185422
宝宝课堂 380186522
贝瓦儿歌 380222322
亲宝儿歌 380222522
兔小贝儿歌 380222422
儿歌大全 380221922
英文儿歌 380221822
宝宝巴士 380222622
优漫卡通 youmankatong
广东嘉佳卡通 ws_jjkt
炫动卡通 xdkt
金鹰卡通 jykt
北京卡酷 bjkaku
央广购物 yangguanggouwu999
戏曲 380229122
家有购物 jiayou-yangshi1
脱口秀 380189522
奔跑吧兄弟 380189222
非诚勿扰 380191822
王牌对王牌 380228622
环球购物 huanqiu131-2
爱情保卫战 380191922
相声小品 380173022
喜剧大咖 380172822
相亲选秀 380115622
情感调解 380115522
真人秀 380115422
重磅综艺 380189322
中科商城 zhongkeyangguang1
家有购物 jiayougouwu
CIBN电影导视 CIBNdianyingdaoshi
CIBN喜剧影院 CIBNxijuyingyuan
CIBN精品影院 CIBNjingpinyingyuan
CIBN电影 CIBNdianying
CIBN好莱坞 CIBNhaolaiwu
CIBN微电影 CIBNweidianying
央广购物 yangguang-yangguang1
喜剧电影 380168922
动作电影 380173422
经典港产片 380173722
惊悚午夜场 380174022
好莱坞大片 380173522
CHC家庭影院 chcjt
中科商城 zhongkeyangguang1
电影大片 380187322
五星影院 380173922
黑帮电影 380173822
漫威电影 mg-manwei
家有购物 jiayougouwu
热播电视剧 380185322
抗战剧场 380215422
欧巴剧场 380138522
好买手家具 haomaishou
大剧重温 380128522
经典剧场 380115222
UGO优购物 yougouwu
年代剧场 380115322
军旅剧场 380115122
开心剧场 380115022
家庭剧场 380114922
谍战剧场 380215722
央广购物 yangguanggouwu999
CIBN古装剧场 CIBNguzhuangjuchang
CIBN热播剧场 CIBNrebojuchang
UGO厨具街 ugochujujie
CIBN骄阳剧场 CIBNjiaoyangjuchang
CIBN情感剧场 CIBNqingganjuchang
人民的名义 380228822
中科商城 zhongkeyangguang1
三生三世十里桃花 380176122
琅琊榜 380215922
武林外传 380176022
环球购物 huanqiu131-2
花千骨 380175922
伪装者 380216122
聚鲨精选 huanqiu-jingxuan
家有儿女 380165322
爱情公寓 380158222
聚鲨美食 huanqiu-meishi-jilin
趣仓特卖 qucanggouwu
央广购物 yangguanggouwu999
周星驰 mg-zhouxingchi
成龙 380229022
冯小刚 380228922
周杰伦 380170122
宋小宝 mg-songxiaobao
环球购物 huanqiu-mingxing
薛之谦 380207322
岳云鹏 380173122
明星粉丝会 380189122
家有购物 jiayou-yangshi1
中科商城 zhongkeshangcheng
好声音 380172922
央广购物 yangguanggouwu999
茶频道 chapindao
爆笑精选 380192122
养生堂 380216222
美食厨房 380187022
环球购物 huanqiu-gexing
CIBN禅文化 CIBNchanwenhua
CIBN纪录片 CIBNjilupian
CIBN汽车 CIBNqiche
CIBN财经 CIBNcaijing
CIBN金古藏珍 CIBNjingucangzhen
旅游攻略 380121122
记录发现 380078922
奇妙世界 380121322
自然地理 380115822
科学探索 380115722
军事观察 380121222
人文社会 380116022
历史秘闻 380115922
文化奇谈 380207122
测试频道1111 ceshi
环球购物 huanqiubj
北京新闻 bjxw
北京财经 bjcj
央广购物 yangguang-beijing
北京生活 bjsh
UGO优购物 yougouwu
北京体育 btv6
北京影视 bjys
北京青年 bjqn
家有购物 jiayou-beijing
北京科教 bjkj
北京文艺 bjwyHD
北京纪实 bjjsHD
北京卡酷 bjkaku
中科商城 zhongke-beijing
北京时间 beijingshijian
上海第一财经 ws_shdicj
东方财经 dongfangcaijing
东方电影 dongfangdianying
上海新闻 ws_shxw
上海五星体育 shanghaitiyu
上海娱乐 ws_shxyl
环球购物 huanqiushh
上海电视剧 ws_shdsj
上海劲爆体育 shanghaijinbao
上海星尚 ws_shxs
上海教育 ws_shjy
上海艺术人文 ws_shysrw
上海纪实 ws_shjs
上海外语 ws_shwy
上海法制天地 shanghaifazhi
上海奉贤综合 shanghaifengxian
天津国际 tianjinguoji
天津新闻 tianjinxinwen
天津文艺 tianjinwenyi
天津影视 tianjinyingshi
环球购物 tianjianhuanqiu
天津都市 tianjindushi
天津体育 tianjintiyu
天津科教 tianjinkejiao
天津少儿 tianjinshaoer
天津公共 tianjingonggong
天津滨海1 tianjinbinhai
天津滨海2 tianjinbinhai2
重庆新闻 chongqingxinwenpindao
重庆移动 chongqingyidongpindao
重庆生活 chongqingshenghuozixun
重庆公共 chongqinggonggongnongcun
重庆科教 chongqingkejiaopindao
重庆汽摩 chongqingqimo
重庆手持电视 chongqingshouchi
重庆少儿 chongqingshaoerpindao
重庆时尚 chongqingshishangpindao
重庆都市频道 chongqingdushipindao
重庆影视 chongqingyingshipindao
山东教育卫视 sdjy
山东齐鲁 sdql
乐拍购物 lepaigouwu-shangdong
山东综艺 sdzy
山东影视 sdys
山东生活 sdsh
好买手家具 haomaishou-shandong
山东公共 sdgg
山东体育 sdty
山东农科 sdnk
山东少儿 shandongshaoer
山东国际 sdgj
济南新闻 jinanxinwen
济南都市 jinandushi
央广购物 yangguang-shandong
济南商务 jinanshangwu
济南影视 jinanyingshi
济南娱乐 jinanyule
济南生活 jinanshenghuo
济南少儿 jinanshaoer
环球购物 huanqiu-shandong
青岛QTV-1 qinbgdao1
青岛QTV-2 qingdao2
青岛QTV-3 qingdao3
青岛QTV-4 qingdao4
青岛QTV-5 qingdao5
青岛QTV-6 qingdao6
济宁新闻综合 jiningxinwenzonghe
济宁党建 jiningdangjian
济宁都市 jiningdushi
济宁影视 jiningyingshi
济宁生活 jiningshenghuo
烟台新闻综合 yantaixinwenzonghe
烟台公共 yantaigonggong
烟台影视 yantaiyingshi
临沂农科 linyicaijingpindao
临沂公共频道 lixigonggong
临沂综合 linyizonghe
菏泽生活 hezeshenghuo
德州新闻 dezhouxinwen
德州公共 dezhougonggong
德州图文 dezhoutuwen
日照新闻综合 rizhaoxinwenzonghe
日照科教 rizhaokejiaopindao
日照公共 rizhaogonggongpindao
日照图文 rizhaotuwenpindao
河南都市 ws_hnds
河南民生 ws_hnms
乐拍购物 lepaigouwu-henan
河南政法 ws_hnzf
河南电视剧 ws_hndsj
河南新闻 ws_hnxw
河南公共 ws_hngg
好买手家具 haomaishou-henan
家有购物 jiayou-henan
河南新农村 ws_hnxnc
河南国际 ws_hngj
河南中原文娱 ws_hnzq
河南梨园 henanliyuan
郑州商都 ws_zzsd
郑州时政 ws_zzsz
环球购物 huanqiu131-3
郑州生活 ws_zzsh
郑州妇女儿童 ws_zzfnet
焦作教育 jiaozuoshenghuo
晴彩濮阳 puyang3
濮阳公共 puyang2
濮阳综合 puyang
安阳新闻 anyangxinwen
安阳科教 anyangkejiao
安阳图文 anyangtuwen
洛阳综合 luoyangzonghe
洛阳科教 luoyangkejiao
洛阳公共 luoyanggonggong
洛阳移动 luoyangyidong
南阳新闻 nanyangxinwen
南阳公共 nanyanggonggong
南阳科教 nanyangkejiao
南阳图文 nanyangtuwen
河北都市 hebeidushipindao
河北经济 hebeijingjipindao
河北影视 hebeiyingshipindao
乐拍购物 lepaigouwu-hebei
好买手家具 haomaishou-hebei
河北少儿 hebeishaoerkejiao
河北公共 hebeigonggongpindao
河北农民 hebeinongminpindao
石家庄新闻 shijiazhuangxinwen
石家庄娱乐 shijiazhuangyule
石家庄生活 shijiazhuangshenghuo
石家庄都市 shijiazhuangdushi
邯郸新闻 handanxinwenzonghe
邯郸公共 handanminshegdushi
邯郸科教 handangonggong
山西黄河频道 shanxihuanghepindao
山西少儿频道 shanxishaoerpindao
山西公共频道 shanxigonggongpindao
山西科教频道 shanxikejiaopindao
山西经济资讯 shanxijingjizixun
山西影视频道 shanxiyingshipindao
太原新闻 taiyuanxinwen
太原百姓 taiyuanbaixing
太原法制 taiyuanfazhi
太原影视 taiyuanyingshi
太原文体 taiyuanwenti
晋城新闻 jinchengxinwen
晋城公共 jinchenggonggong
阳泉综合 yangquanzonghe
环球精选 huanqiujingxuan-liaoning
辽宁公共 liaoninggonggong
辽宁经济 liaoningjingji
好买手家具 haomaishou-liaoning
辽宁生活 liaoningshenghuo
辽宁都市 liaoningdushi
辽宁北方 liaoningbeifang
乐拍购物 lepaigouwuliaoning
辽宁体育 liaoningtiyu
辽宁教育 liaoningjiaoyu
辽宁影视 liaoningyingshi
沈阳新闻综合 shenyangxinwenzonghe
晴彩沈阳 qingcaishenyang
阜新网络电视 fuxinzhibo
大连新闻 dalianxinwen
大连生活 dalianshenghuo
大连公共 daliangonggong
大连文体 dalianwenti
大连影视 dalianyingshi
大连少儿 dalianshaoer
大连财经 daliancaijing
聚鲨国际 huanqiuguoji-jilin
吉视都市 jilindushi
吉视生活 jilinshenghuo
吉视影视 jilinyingshi
吉视乡村 jilinxiangcun
吉视公共 jilingongong
吉视综艺 jilinzongyi
吉视篮球 jilinlanqiu
长春1台 changchunzonghe
长春2台 changchunyule
长春3台 changchunshimin
长春4台 changchunshangye
长春5台 changchun5
通化新闻 tonghuaxinwen
通化科教 tonghuakkejiao
通化公共 tonghuagonggong
延边卫视 yanbianweishi
延边-1 yanbian-1
延边-2 yanbian-2
酒水频道 huanqiujiushui-heilongjiang
黑龙江新闻 heilongjiangxinwen
央广购物 yangguang-heilongjiang
黑龙江文艺 heilongjiangwenyi pindao
乐拍购物 lepaigouwu-heilongjiang
黑龙江公共 heilongjianggonggongpindao
黑龙江都市 heilongjiangdushipindao
黑龙江影视 heilongjiangyingshipindao
好买手家具 haomaishou-heilongjiang
黑龙江导视 heilongjiangdaoshipindao
黑龙江少儿 heilongjiangshaoerpindao
黑龙江北大荒 heilongjiangbeidahuang
哈尔滨新闻综合 haerbinxinwenzonghe
哈尔滨影视 haerbinyingshi
哈尔滨资讯 haerbinzixun
哈尔滨生活 haerbinshenghuo
大庆综合 daqingzonghe
大庆公共 daqinggonggong
大庆教育 daqingjiaoyu
齐齐哈尔新闻 qiqihaerxinwen
齐齐哈尔专题 qiqihaerzhuanti
江苏城市 ws_jscs
乐拍购物 lepaigouwu-jiangsu
江苏影视 ws_jsys
优漫卡通 youmankatong
江苏综艺 ws_jszy
江苏公共 jiangsugonggong
央广购物 yangguang-jiangsu
江苏国际 ws_jsgj
江苏体育休闲 ws_jsty
江苏靓状 jiangsuliangzhuang
南京新闻综合 nanjingxinwenzonghe
南京生活 nanjingshenghuo
南京科教 nanjingkejiao
南京影视 nanjingyingshi
南京少儿 nanjinghsaoer
南京娱乐 nanjingyule
南京十八 nanjingshiba
财富天下 caifutianxia
苏州新闻综合 suzhouxinwenzonghepindao
苏州生活资讯 suzhoushenghuozixun
苏州文化生活 suzhouwenhuashenghuo
苏州社会经济 suzhoushehuijingji
扬州新闻综合 yangzhouxinwenzonghe
扬州城市 yangzhouchengshi
扬州生活 yangzhoushenghuo
扬州江都 yangzhoujiangdu
扬州邗江 yangzhoulvyou
常州新闻 changzhouxinwen
常州都市 changzhoudushi
常州生活 changzhoushenghuo
常州公共 chabgzhougonggong
南通新闻 nantongxinwen
南通社教 nantongshejiao
南通娱乐 nantongyule
南通信息 nantongxinxi
南通明珠 nantongmingzhu
徐州新闻综合 xuzhouxinwenzonghe
徐州经济生活 xuzhoujingjishenghuo
徐州文艺影视 xuzhouwenyiyingshi
徐州公共 xuzhougonggong
无锡新闻 wuxixinwen
无锡娱乐 wuxiyule
无锡经济 wuxijingji
无锡生活 wuxishenghuo
无锡都市 wuxidushi
无锡教育 wuxijiaoyu
盐城一台 yanchengyitai
盐城二台 yanchengertai
盐城三台 yanchengsantai
盐城四台 yanchengsittai
如东新闻 rudongxinwen
如东生活 rudongshenghuo
连云港新闻 lianyungangxinwen
连云港公共 lianyungangchengshi
张家港新闻 zhangjiagangxinwen
张家港生活 zhangjiagangshenghuo
江阴民生 jiangyinminsheng
淮安新闻综合 huaianxinwenzonghe
淮安影视 huaianyingshi
淮安公共 huaiangonggong
新沂新闻 xinyixinwen
新沂生活 xinyishenghuo
太仓新闻 taicangxinwen
太仓娄东民生 taicangloudongminsheng
太仓党建 taicangdangjian
泰州新闻综合 taihzouxinwenzonghe
泰州经济生活 taizhoujingji
泰州影视娱乐 taizhouyingshi
浙江经视 zhejiangjingshipindao
好买手家具 haomaishou-zhejiang
浙江科教 zhejiangkejiaopindao
浙江钱江 zhejiangqianjiangpindao
环球购物 huanqiu-zhejiang
浙江影视 zhejiangyingshipindao
浙江民生 zhejiangminshengpindao
浙江国际 zhejiangguoji
浙江公共 zhejianggonggong
浙江少儿 zhejiangshaoer
杭州综合 hangzhouzonghe
杭州明珠 hangzhoumingzhu
杭州生活 hangzhoushenghuo
杭州影视 hangzhouyingshi
杭州少儿 hangzhuoshaoer
杭州导视 hangzhoudaoshi
绍兴新闻综合 shaoxingxinwenzonghe
绍兴文化影视 shaoxingwenhuayingshi
绍兴公共频道 shaoxinggonggongpindao
余姚新闻综合 yuyaoxinwenzonghe
余姚姚江文化 yuyaoyaojiangwenhua
余姚生活 yuyaoshenghuo
温州新闻综合 wenzhouxinwenzonghe
温州经济科教 wenzhoujingjikejiao
温州都市生活 wenzhoudushishenghuo
温州公共 wenzhougonggong
温州瓯江先锋 wenzhououjiangxianfeng
宁波新闻 ningboxinwen
宁波生活 ningboshenghuo
宁波娱乐 ningboyule
宁波影视 ningboyingshi
宁波少儿 ningboshaoer
舟山新闻综合 zhoushanxinwenzonghe
舟山公共生活 zhoushangonggongshenghuo
舟山旅游 zhoushanlvyoupindao
安吉新闻频道 anjixinwenpindao
安吉生活频道 anjishenghuopindao
安吉乡村频道 anjixiangcunpindao
台州新闻 taizhouxinwen
台州影视 taizhouyingshi
台州公共 taizhougonggong
德清新闻 deqingxinwen
德清娱乐 deqingyule
奉化新闻综合 fenghuaxinwenzonghe
奉化生活娱乐 fenghuashenghuoyule
义乌新闻综合 yiwuxinwen
义乌商贸 yiwushangmao
义乌公共文艺 yiwugonggong
环球购物 huanqiu-anhui
安徽人物 anhuirenwu
好买手家具 haomaishou-anhui
安徽国际 anhuiguoji
安徽科教 anhuikejiao
安徽公共 anhuigonggong
安徽综艺 anhuizongyi
乐拍购物 lepaigouwu-anhui
安徽影视 anhuiyingshi
安徽经济 anhuijingji
合肥新闻 hefeixinwen
合肥财经 ws_hfcj
合肥生活 ws_hfsh
合肥文体 ws_hfwt
合肥教育 hefeijiaoyu
蚌埠新闻 bengbuxinwen
蚌埠生活 bengbushenghuo
蚌埠公共 bengbugonggong
蚌埠文教 bengbuwenjiao
蚌埠公交 bengbugj
宿州新闻综合 suzhouxinwenzonghe
宿州科教 suzhoukejiao
宿州公共 suzhougonggong
芜湖新闻 wuhuxinwen
芜湖生活 wuhushenghuo
芜湖教育 wuhujiaoyu
芜湖公共 wuhugonggong
铜陵新闻 tonglingxinwen
铜陵生活 tonglingshenghuo
铜陵影视 tonglingyingshi
马鞍山新闻 maanshanxw
马鞍山公共 maanshangg
马鞍山影视 maanshanys
池州新闻 chizhouxw
池州公共 chizhougg
黄山新闻综合 huangshanxw
黄山公共生活 huangshangg
福建综合 fujianzonghe
福建新闻 fujianxinwen
福建公共 fujiangonggong
福建电视剧 fujiandianshiju
福建旅游 fujianlvyuo
福建经济 fujianjingji
福建少儿 fujianshaoer
福建体育 fujiantiyu
环球购物 huanqiu-fujian
福州新闻 fuzhouxinwenpindao
福州影视 fuzhouyingshipindao
福州少儿 fuzhoushaoerpindao
福州生活 fuzhoushenghuopindao
厦门新闻综合 xiamenxinwenzonghe
厦门生活 xiamenshenghuo
厦门移动 xiamenyidong
厦门纪实 xiamenjishi
泉州新闻综合 quanzhouxw
泉州二套 quanzhouertao
泉州三套 quanzhousantao
泉州闽南语 quanzhoumn
江西影视 ws_jxys
江西公共 jiangxigonggong
江西电影 jiangxidianying
江西都市 ws_jxds
江西经济生活 ws_jxjj
江西少儿 ws_jxse
江西陶瓷 jiangxitaoci
南昌新闻 nanchangxinwen
南昌公共 nanchanggonggong
南昌法制 nanchangfazhi
南昌都市 nanchangdushi
吉安一台 jian1
吉安二台 jian2
九江新闻 jiujiangxw
九江民生 jiujiangms
九江政法 jiujiangzf
九江旅游 jiujiangly
抚州一台 fuzhou1
抚州二台 fuzhou2
湖北综合 hubeizonghe
湖北生活 hubeishenghuo
湖北影视 hubeiyingshi
湖北经视 hubeijingshi
湖北公共 hubeigonggong
环球购物 huanqiu-hubei
湖北教育频道 hubeijiaoyupindao
湖北垄上 hubeilongshang
武汉新闻综合 wuhanxinwenzonghe
武汉电视剧 wuhandianshiju
武汉经济 wuhanjingji
武汉文体 wuhanwenti
武汉少儿 wuhanshaoer
武汉外语 wuhanwaiyu
武汉科教 jingcaiwuhan
宜昌综合 yichangzonghe
宜昌公共 yichanggonggong
宜昌生活 yichangshenghuo
十堰新闻 shiyanxw
十堰公共 shiyangonggong
十堰经济旅游 shiyanjingji
襄阳综合 xiangyangzonghe
襄阳公共 xiangyanggonggong
襄阳经济 xiangyangjingji
荆州新闻 jingzhouxinwen
恩施新闻 enshixw
恩施公共 enshigg
湖南娱乐 hunanyule
湖南国际 hunanguoji
湖南公共 hunangonggong
湖南都市 hunandushi
湖南经视 hunanjingshipindao
湖南电视剧 hunandianshijupindao
长沙家庭 changshajiating
长沙新闻 changshaxinwen
长沙经贸 changshajingmao
长沙政法 changshazhengfa
长沙女性 changshanvxing
常德新闻综合 changdexw
常德公共 changdegg
常德都市 changdeds
常德武陵 changdeds
怀化新闻综合 huaihuaxw
怀化公共 huaihuagg
湘潭新闻综合 xiangtanxw
湘潭长株潭 xiangtanczt
湘潭公共都市 xiangtangg
娄底综合 loudizh
娄底公共 loudigg
广东经济 ws_nfjj
广东珠江 ws_gdzj
广东珠江电影 guangdongzhujiangdianying
广东体育 ws_gdty
广东公共 ws_gdgg
广东新闻 ws_gdxw
广东会展 ws_gdhz
广东嘉佳卡通 ws_jjkt
广东现代教育 guangdongxiandaijiaoyu
广东房产 guangdongfangchan
广东国际 ws_gdgj
广东南方卫视 nanfang
广东综艺 ws_nfzy
广东影视 ws_nfys
广东少儿 ws_nfse
广州综合 guangzhouzonghe
广州新闻 guangzhouxinwenpindao
广州生活 guangzhoushenghuopindao
广州影视 guangzhouyingshipindao
广州经济 guangzhoujingjipindao
广州少儿 guangzhoushaoerpindao
深圳财经 ws_szcj
深圳都市 ws_szds
深圳体育健康 ws_sztyjk
深圳娱乐 ws_szyl
深圳少儿 ws_szse
深圳西部生活 ws_szxbsh
深圳电视剧 ws_szdsj
深圳法制 shenzhenfazhi
深圳公共 shenzhengonggong
深圳DV生活 shenzhenDVshenghuo
深圳宝安台 shenzhenbaoantai
深圳龙岗台 shenzhenlonggangtai
深圳东部台 shenzhendongbutai
深圳蛇口 shenzhenshekou
江门综合 jianmenzonghepindao
江门公共 jiangmengonggongpindao
江门教育 jiangmenjiaoyupindao
东莞综合 dongguanyitao
东莞公共 dongguanertao
惠州一套 huizhouyitao
惠州二套 huizhouertao
佛山公共 foshangg
清远综合 qingyuanzh
清远公共 qingyuangg
韶关综合 shaoguanzh
韶关公共 shaoguangg
珠海1台 zhuahai1
珠海2台 zhuahai2
汕头新闻综合 shantouxw
汕头经济生活 shantoujj
汕头影视文艺 shantouys
阳江综合 yangjiangzonghe
阳江公共 yangjianggonggong
三沙卫视 sanshaweishi
海南新闻 hainanxinwen
海南综合 hainanzonghe
海南青少 hainanqingshao
海南公共 hainangonggong
海南影视 hainanyingshi
海口-1 haikou1
海口-2 haikou2
海口-3 haikou3
四川康巴卫视 sichuanguoji
四川新闻资讯 sichuanxinwenzixun
四川文化旅游 sichuanwenhualvyou
四川经济 sichuanjingji
四川科教 sichuankejiao
四川公共 sichuangonggong
四川影视文艺 sichuanyingshiwenyi
成都公共频道 chengdugonggongpindao
成都新闻综合 chengduxinwenzonghe
成都经济资讯 chengdujingjizixun
成都都市生活 chengdudushishenghuo
成都影视文艺 chengduyingshiwenyi
成都少儿 chengdushaoe
泸州新闻综合 luzhouxinwenzonghe
泸州公共频道 luzhougonggongpindao
绵阳综合 mianyangzonghepindao
绵阳公共 mianyanggonggongpindao
绵阳科技 mianyangkejipindao
绵阳教育 mianyangjiaoyu
南充综合 nanchongzonghe
南充资讯 nanchongzixun
南充文娱 nanchongwenyu
南充科教 nanchongkejiao
南充公共 nanchonggonggong
广元综合频道 guangyuanzonghepindao
广元公共频道 guangyuangonggongpindao
广元影视频道 guangyuanyingshipindao
广元科教频道 guangyuankejiaopindao
达州新闻综合 dzxw
达州公共 dzgg
达州通川 dztc
江油新闻综合 jypd
江油文化教育 jywh
遂宁新闻 suiningxw
遂宁公共 suininggg
宜宾新闻 yibinxw
宜宾公共 yibingg
乐山新闻 leshanxinwen
乐山公共 leshangonggong
德阳新闻 deyangxw
德阳公共 deyanggg
仪陇电视台 yilongtv
甘孜电视台 ganzitv
眉山综合 meishanzh
眉山公共 neijianggg
眉山高清 neijianggq
央广购物 yangguang-guizhou
贵州科教 guizhoukejiao
贵州法制 guizhoufazhi
贵州公共 guizhougonggong
环球购物 huanqiu-guizhou
贵州影视文艺 guizhouyingshiwenyi
贵州大众生活 guizhoudazhongshenghuo
贵阳新闻 guiyangxinwen
贵阳经济 guiyangjingji
贵阳法制 guiyangfazhi
贵阳都市 guiyangdushi
贵阳旅游生活 guiyanglvyoushenghuo
遵义新闻 zunyixw
习水综合 xishuizonghe
云南公共 yunnangonggong
云南娱乐 yunnanyule
云南都市 yunnandushi
云南国际 yunnanguoji
环球购物 huanqiu-yunnan
云南少儿 yunnanshaoer
云南经典 yunnanjingdian
云南精品 yunnanjingpin
云南记录 yunnanjilu
昆明新闻 kunming1
昆明经济 kunming2
昆明科教 kunming3
昆明文娱 kunming4
昆明影视 kunming5
昆明公共 kunming6
丽江新闻综合 lijiangxinwenzonghe
丽江公共频道 lijianggonggong
红河电视台 honghedianshitai
红河经济生活 honghejingji
玉溪新闻 yuxixw
玉溪公共 yuxigg
文山新闻 wenshanxinwen
陕西新闻 shanxixinwen
陕西体育休闲 shanxitiyuxiuxian
环球购物 huanqiu-shanxi
陕西都市青春 shanxidushiqingchun
陕西生活 shanxishenghuo
陕西公共 shanxigonggong
陕西秦腔 shanxiqinqiangpindao
陕西影视 shanxiyingshi
西安新闻 xianxinwen
西安白鸽都市 xianbaigedushi
西安资讯 xianshangwuzixun
西安影视 xianyingshi
西安健康 xianjiankang
西安综艺 xianzongyi
榆林一台 yulin1
榆林二台 yulin2
榆林三台 yulin3
渭南新闻 weinanxw
渭南华山 weinanhs
渭南都市 weinandushi
渭南公共 weinangonggong
甘肃经济 gansujingji
甘肃少儿 gansushaoer
甘肃公共 gansugonggong
甘肃都市 gansudushi
甘肃影视 gansuyingshi
甘肃生活 gansushenghuo
甘肃移动 gansuyidong
兰州新闻 lanzhouxinwen
兰州生活 lanzhoushenghuo
兰州公共 lanzhougonggong
晴彩兰州 qingcailanzhou
兰州体育 lanzhoutiyu
嘉峪关综合 zhjiayuguan
嘉峪关公共 jiayuguangg
张掖新闻综合 zhanyexw
张掖公共 zhanyegg
庆阳综合 qingyangzh
庆阳公共 qingyanggg
安多卫视 anduoweishi
青海生活 qinghaishenghuo
青海都市 qinghaidushi
西宁新闻 xiningxinwen
西宁生活 xiningshenghuo
内蒙古新闻综合 neimengguxinwenzonghe
内蒙古经济生活 neimenggujingjishenghuo
内蒙古文体娱乐 neimengguwentiyule
内蒙古农牧 neimenggunongmu
内蒙古少儿 neimenggushaoer
内蒙古文化 neimengguwenhua
包头新闻综合 baotouxinwenzonghe
包头生活服务 baotoushenghuofuwu
包头经济频道 baotoujingjipindao
呼和浩特新闻 huhehaotexw
呼和浩特都市 huhehaoteds
呼和浩特影视 huhehaoteys
赤峰综合 chifengzh
